Symbol,Sector,Industry,NoEmployees,Profile
ACAD,Healthcare,Biotechnology,620,ACADIA Pharmaceuticals Inc a biopharmaceutical company focuses on the development and commercialization innovative medicines that address unmet medical needs in central nervous system CNS disorders and rare diseases in the United States The company offers NUPLAZID pimavanserin for the treatment of hallucinations and delusions associated with Parkinsons disease psychosis and DAYBUE a novel synthetic analog of the aminoterminal tripeptide of insulinlike growth factor 1 for treatment of Rett Syndrome It also develops Pimavanserin that is in Phase III ADVANCE2 study to treat the negative symptoms of schizophrenia ACP101 whixh is in Phase III for the treatment of hyperphagia in PraderWilli syndrome ACP204 which is in Phase II for the treatment of Alzheimers disease psychosis ACP2591 that is in Phase I for Rett syndrome and Fragile X syndrome preclinical antisense oligonucleotide programs and other programs for neuropsychiatric symptoms It has a license agreement with Neuren Pharmaceuticals Limited to develop and commercialize trofinetide for Rett syndrome and other indications and a license and collaboration agreement with Stoke Therapeutics Inc to discover develop and commercialize novel RNAbased medicines for the potential treatment of severe and rare genetic neurodevelopmental diseases of the CNS The company was formerly known as Receptor Technologies Inc and changed its name ACADIA Pharmaceuticals Inc in 1997 ACADIA Pharmaceuticals Inc was incorporated in 1993 and is headquartered in San Diego California
ACDC,Energy,Oil & Gas Equipment & Services,2949,ProFrac Holding Corp operates as a technologyfocused energy services holding company in the United States It operates through three segments Stimulation Services Manufacturing and Proppant Production The company offers hydraulic fracturing well stimulation inbasin frac sand and other completion services and complementary products and services to upstream oil and natural gas companies engaged in the exploration and production of unconventional oil and natural gas resources It also manufactures and sells high horsepower pumps valves piping swivels largebore manifold systems and fluid ends ProFrac Holding Corp was founded in 2016 and is headquartered in Willow Park Texas
ACGL,Financial Services,Insurance - Diversified,None,Arch Capital Group Ltd together with its subsidiaries provides insurance reinsurance and mortgage insurance products worldwide The companys Insurance segment offers primary and excess casualty coverages loss sensitive primary casualty insurance programs directors and officers liability errors and omissions liability employment practices and fiduciary liability crime professional indemnity and other financial related coverages medical professional and general liability insurance coverages and workers compensation and umbrella liability as well as commercial automobile and inland marine products It also provides property energy marine and aviation insurance travel insurance accident disability and medical plan insurance coverages captive insurance programs employers liability contract and commercial surety coverages and collateral protection debt cancellation and service contract reimbursement products This segment markets its products through a group of licensed independent retail and wholesale brokers Its Reinsurance segment provides casualty reinsurance for third party liability exposures marine and aviation motor reinsurance whole account multiline treaties cyber trade credit surety accident and health workers compensation catastrophe agriculture trade credit and political risk products reinsurance protection for catastrophic losses and personal lines and commercial property exposures life reinsurance casualty clash and risk management solutions This segment markets its reinsurance products through brokers The companys Mortgage segment offers direct mortgage insurance and mortgage reinsurance The company was founded in 1995 and is based in Pembroke Bermuda
ACGLN,Financial Services,Insurance - Diversified,None,Arch Capital Group Ltd together with its subsidiaries provides insurance reinsurance and mortgage insurance products worldwide The companys Insurance segment offers primary and excess casualty coverages loss sensitive primary casualty insurance programs directors and officers liability errors and omissions liability employment practices and fiduciary liability crime professional indemnity and other financial related coverages medical professional and general liability insurance coverages and workers compensation and umbrella liability as well as commercial automobile and inland marine products It also provides property energy marine and aviation insurance travel insurance accident disability and medical plan insurance coverages captive insurance programs employers liability contract and commercial surety coverages and collateral protection debt cancellation and service contract reimbursement products This segment markets its products through a group of licensed independent retail and wholesale brokers Its Reinsurance segment provides casualty reinsurance for third party liability exposures marine and aviation motor reinsurance whole account multiline treaties cyber trade credit surety accident and health workers compensation catastrophe agriculture trade credit and political risk products reinsurance protection for catastrophic losses and personal lines and commercial property exposures life reinsurance casualty clash and risk management solutions This segment markets its reinsurance products through brokers The companys Mortgage segment offers direct mortgage insurance and mortgage reinsurance The company was founded in 1995 and is based in Pembroke Bermuda
ACGLO,Financial Services,Insurance - Diversified,None,Arch Capital Group Ltd together with its subsidiaries provides insurance reinsurance and mortgage insurance products worldwide The companys Insurance segment offers primary and excess casualty coverages loss sensitive primary casualty insurance programs directors and officers liability errors and omissions liability employment practices and fiduciary liability crime professional indemnity and other financial related coverages medical professional and general liability insurance coverages and workers compensation and umbrella liability as well as commercial automobile and inland marine products It also provides property energy marine and aviation insurance travel insurance accident disability and medical plan insurance coverages captive insurance programs employers liability contract and commercial surety coverages and collateral protection debt cancellation and service contract reimbursement products This segment markets its products through a group of licensed independent retail and wholesale brokers Its Reinsurance segment provides casualty reinsurance for third party liability exposures marine and aviation motor reinsurance whole account multiline treaties cyber trade credit surety accident and health workers compensation catastrophe agriculture trade credit and political risk products reinsurance protection for catastrophic losses and personal lines and commercial property exposures life reinsurance casualty clash and risk management solutions This segment markets its reinsurance products through brokers The companys Mortgage segment offers direct mortgage insurance and mortgage reinsurance The company was founded in 1995 and is based in Pembroke Bermuda
ACHC,Healthcare,Medical Care Facilities,17000,Acadia Healthcare Company Inc provides behavioral healthcare services in the United States and Puerto Rico The company develops and operates acute inpatient psychiatric facilities specialty treatment facilities comprising residential recovery facilities and eating disorder facilities comprehensive treatment centers and residential treatment centers as well as facilities offering outpatient behavioral healthcare services for the behavioral healthcare and recovery needs of communities Acadia Healthcare Company Inc was founded in 2005 and is headquartered in Franklin Tennessee
ACHR,Industrials,Aerospace & Defense,578,Archer Aviation Inc together with its subsidiaries engages in designs develops and operates electric vertical takeoff and landing aircraft for use in urban air mobility The company was formerly known as Atlas Crest Investment Corp and changed its name to Archer Aviation Inc The company is headquartered in San Jose California
ACI,Consumer Defensive,Grocery Stores,108300,Albertsons Companies Inc through its subsidiaries engages in the operation of food and drug stores in the United States The companys food and drug retail stores offer grocery products general merchandise health and beauty care products pharmacy fuel and other items and services It also manufactures and processes food products for sale in stores It operates stores under various banners including Albertsons Safeway Vons Pavilions Randalls Tom Thumb Carrs JewelOsco Acme Shaws Star Market United Supermarkets Market Street Haggen Kings Food Markets and Balduccis Food Lovers Market and pharmacies instore branded coffee shops adjacent fuel centers distribution centers and manufacturing facilities as well as various digital platforms Albertsons Companies Inc was founded in 1860 and is headquartered in Boise Idaho Albertsons Companies Inc operates as a subsidiary of Albertsons Investor Holdings LLC
ACIW,Technology,Software - Infrastructure,3212,ACI Worldwide Inc a software company develops markets installs and supports a range of software products and solutions for facilitating digital payments in the United States and internationally The company operates in three segments Banks Merchants and Billers The company offers ACI Acquiring a solution to process credit debit and prepaid card transactions deliver digital innovation and fraud prevention ACI Issuing a digital payment issuing solution for new payment offering and ACI Enterprise Payments Platform that provides payment processing and orchestration capabilities for digital payments It also provides ACI Low Value RealTime Payments a platform for processing realtime payments and ACI High Value RealTime Payments a payments engine that offers multibank multicurrency 24x7 payment processing and SWIFT messaging In addition the company offers ACI Payments Orchestration Platform for optimizing payments omnichannel payment platform ACI Fraud Management a realtime approach to fraud management and ACI Speedpay an integrated suite of digital billing payment disbursement and communication services The company offers electronic bill presentment and payment services to consumer finance insurance healthcare higher education utility government telecommunications and mortgage sectors implementation services include product installations and configurations and custom software modifications and business and technical consultancy onsite support product education and testing services as well as distributes or acts as a sales agent for software developed by third parties It markets its products under the ACI Worldwide brand The company was formerly known as Transaction Systems Architects Inc and changed its name to ACI Worldwide Inc in July 2007 The company was founded in 1975 and is based in Elkhorn Nebraska
ACLS,Technology,Semiconductor Equipment & Materials,None,Axcelis Technologies Inc designs manufactures and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States Japan Europe and Asia Pacific The company offers high energy high current and medium current implanters for various application requirements It also provides aftermarket lifecycle products and services including used tools spare parts equipment upgrades maintenance services and customer training It sells its equipment and services to semiconductor chip manufacturers through its direct sales force The company was founded in 1978 and is headquartered in Beverly Massachusetts
ACLX,Healthcare,Biotechnology,130,Arcellx Inc together with its subsidiary engages in the development of various immunotherapies for patients with cancer and other incurable diseases in the United States The companys lead ddCAR product candidate is anitocabtagene autoleucel which is in phase 2 clinical trial for the treatment of patients with relapsed or refractory multiple myeloma rrMM It also develops ACLX001 a product candidate in Phase 1 clinical trials targeting BCMA to treat rrMM and ACLX002 which is in Phase 1 clinical trials that targets CD123 for treating relapsed or refractory acute myeloid leukemia AML and myelodysplastic syndrome MDS In addition the companys preclinical product includes ACLX003 for the treatment of AML and MDS Further it focuses on the development of product candidates for solid tumor programs It has a strategic alliance with Kite Pharma Inc to codevelop and cocommercialize anitocabtagene autoleucel The company was formerly known as Encarta Therapeutics Inc and changed its name to Arcellx Inc in January 2016 Arcellx Inc was incorporated in 2014 and is headquartered in Redwood City California
ACM,Industrials,Engineering & Construction,51000,AECOM together with its subsidiaries provides professional infrastructure consulting services for governments businesses and organizations worldwide It operates in three segments Americas International and AECOM Capital The company offers advisory planning consulting architectural and engineering design construction and program management and investment and development services to public and private clients It is also involved in the investment and development of real estate projects The company serves transportation water facilities environmental and energy sectors The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015 AECOM was incorporated in 1980 and is headquartered in Dallas Texas
ACN,Technology,Information Technology Services,799000,Accenture plc provides strategy and consulting industry X song and technology and operation services in North America Europe the Middle East Africa and internationally It offers systems integration and application management security intelligent platform infrastructure software engineering data and AI and automation services The company also operates business processes and designs manufactures and assembles automation equipment robotics and other commercial hardware products It serves communications media and technology banking and capital markets and insurance health and public service consumer goods retail travel services industrial life science chemicals natural resources energy and utilities sectors It has collaboration agreement with Kyoto University to advance learning research and innovation in humancentered  AI The company was founded in 1951 and is based in Dublin Ireland
ACT,Financial Services,Insurance - Specialty,None,Enact Holdings Inc operates as a private mortgage insurance company in the United States It engages in writing and assuming residential mortgage guaranty insurance The company also offers private mortgage insurance products primarily insuring primebased individually underwritten residential mortgage loans contract underwriting services for mortgage lenders and mortgagerelated reinsurance products It primarily serves originators of residential mortgage loans The company was formerly known as Genworth Mortgage Holdings Inc and changed its name to Enact Holdings Inc in May 2021 Enact Holdings Inc was founded in 1981 and is headquartered in Raleigh North Carolina Enact Holdings Inc operates as a subsidiary of Genworth Holdings Inc
ACVA,Consumer Cyclical,Auto & Truck Dealerships,2900,ACV Auctions Inc operates a digital marketplace that connects buyers and sellers for the online auction of wholesale vehicles The companys marketplace platform includes digital marketplace which connects buyers and sellers by providing online auction which facilitates realtime transactions of wholesale vehicles Run List for prefiltering and prescreening of vehicles up to 24 hours prior to an auction taking place ACV transportation service to enable the buyers to see realtime transportation quotes and status reports of the vehicle ACV capital a shortterm inventory financing services for buyers to purchase vehicles and Go Greens seller assurance service for against claims related to defects in the vehicle It also provides remarketing centers which offers valueadded services such as vehicle reconditioning and storage for dealers and commercial partners In addition the company offers data services including True360 report which provides cosmetic and structural vehicle assessments integrated into vehicle history reports for dealer to make wholesale and retail transaction decisions on and off the marketplace ACV market report provides transaction data and condition reports for comparable used vehicles including pricing data from thirdparty sources and allows dealers to determine pricing and valuation strategies for used vehicles and ACV MAX inventory management software enables dealers to manage their inventory and set pricing while turning vehicles Further it provides data and technology through inspection such as condition reports virtual lift solutions apex device and vehicle intelligence platform and marketplace enablement comprising MyACV application private marketplaces operations automation live appraisals and programmatic buying service ACV Auctions Inc was incorporated in 2014 and is headquartered in Buffalo New York
ADBE,Technology,Software - Application,30709,Adobe Inc together with its subsidiaries operates as a technology company worldwide It operates through three segments Digital Media Digital Experience and Publishing and Advertising The Digital Media segment offers products and services that enable individuals teams and enterprises to create publish and promote content and Document Cloud a cloudbased document services platform Its flagship product is Creative Cloud a subscription service that allows subscribers to use its creative products and applications apps integrated with clouddelivered services across various surfaces and platforms This segment serves photographers video editors graphic and experience designers and game developers content creators students marketers and knowledge workers and consumers The Digital Experience segment provides an integrated platform and set of products services and solutions that enable brands and businesses to create manage execute measure monetize and optimize customer experiences from analytics to commerce This segment serves marketers advertisers agencies publishers merchandisers merchants web analysts data scientists developers and executives across the Csuite The Publishing and Advertising segment offers products and services such as elearning solutions technical document publishing web conferencing document and forms platform web application development and highend printing as well as Adobe Advertising offerings It provides consulting training customer management technical support and learning services The company offers its solutions directly to enterprise customers through its sales force and local field offices and directly to businesses and consumers as well as licenses its products to enduser customers through app stores and website at adobecom It markets and distributes its products through sales channels including distributors retailers software developers mobile app stores systems integrators independent software vendors valueadded resellers and original equipment and hardware manufacturers The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc in October 2018 Adobe Inc was founded in 1982 and is headquartered in San Jose California
ADC,Real Estate,REIT - Retail,75,Agree Realty Corporation is a publicly traded real estate investment trust that is RETHINKING RETAIL through the acquisition and development of properties net leased to industryleading omnichannel retail tenants As of September 30 2024 the Company owned and operated a portfolio of 2271 properties located in 49 states and containing approximately 472 million square feet of gross leasable area The Companys common stock is listed on the New York Stock Exchange under the symbol ADC
ADEA,Technology,Software - Application,150,Adeia Inc together with its subsidiaries operates as a media and semiconductor intellectual property licensing company in the United States Canada Asia Europe the Middle East and internationally The company licenses its patent portfolios across various markets including multichannel video programming distributors comprising cable satellite and telecommunications television providers that aggregate and distribute linear content over networks as well as television providers that aggregate and stream linear content over broadband networks overthetop video service providers and social media companies such as subscription videoondemand and advertisingsupported streaming service providers as well as content providers networks and media companies It also licenses consumer electronics manufacturers which includes producers of smart televisions streaming media devices video game consoles mobile devices content storage devices and other connected media devices semiconductors including providers of sensors radio frequency components memory and logic devices and social media companies that allow users to stream and upload usergenerated content The company licenses its innovations under the Adeia brand name Adeia Inc was formerly known as Xperi Corporation and changed its name to Adeia Inc in December 2019 The company was incorporated in 2019 and is headquartered in San Jose California
ADI,Technology,Semiconductors,24000,Analog Devices Inc engages in the design manufacture testing and marketing of integrated circuits ICs software and subsystems products in the United States rest of North and South America Europe Japan China and rest of Asia The company provides data converter products which translate realworld analog signals into digital data as well as translates digital data into analog signals power management and reference products for power conversion driver monitoring sequencing and energy management applications in the automotive communications industrial and consumer markets and power ICs that include performance integration and software design simulation tools for accurate power supply designs It also offers amplifiers to condition analog signals and radio frequency and microwave ICs to support cellular infrastructure and microelectromechanical systems technology solutions including accelerometers used to sense acceleration gyroscopes for sense rotation inertial measurement units to sense multiple degrees of freedom and broadband switches for radio and instrument systems as well as isolators In addition the company provides digital signal processing and system products for numeric calculations It serves clients in the industrial automotive consumer instrumentation aerospace defense and healthcare and communications markets through a direct sales force thirdparty distributors and independent sales representatives as well as online The company was incorporated in 1965 and is headquartered in Wilmington Massachusetts
